time,id,age,gender,education,employment_status,province,migration_stage,time_in_current_stage,behavioral_attitude,subjective_norm,perceived_behavioral_control,actual_behavioral_control,V_score,has_family_abroad
0,58,44.10344201486125,male,19,underemployed,60,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,59,35.37202218895827,male,3,white_collar,2,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,60,46.591358746439596,male,10,self_employment,43,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,61,33.05627191878145,male,14,unemployed,76,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,62,38.7260277625548,female,7,underemployed,17,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,63,38.04855521895857,female,3,self_employment,1,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,64,44.80977110906265,female,14,underemployed,23,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,65,31.478226331551244,female,11,self_employment,9,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,66,27.032598858571205,male,14,unemployed,6,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,67,39.35145767622071,male,17,underemployed,68,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,68,41.62221888181362,female,6,blue_collar,26,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,69,40.11227579990807,male,12,blue_collar,56,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,70,35.65567588444243,female,8,self_employment,38,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,71,54.36568465765909,female,2,self_employment,33,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,72,28.697828970546155,male,15,blue_collar,33,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,73,34.51326423553746,female,7,white_collar,32,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,74,35.807751749331075,female,11,white_collar,43,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,75,42.76266846656485,female,2,white_collar,15,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,76,20.5584850826363,female,4,blue_collar,40,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,77,53.41113252193912,male,16,self_employment,66,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,78,36.94806484319525,female,1,blue_collar,35,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,79,27.698021854521233,female,7,unemployed,48,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,80,59.08076782887469,female,15,white_collar,58,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,81,19.343234343243452,female,15,underemployed,70,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,82,19.405336964317137,female,4,self_employment,12,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,83,30.5605704202539,male,0,underemployed,15,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,84,28.981089426504212,male,7,underemployed,62,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,85,23.864134368903922,male,19,blue_collar,74,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,86,47.61430646285811,female,4,white_collar,11,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,87,47.208264929076535,female,10,blue_collar,17,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,88,23.02146113744395,female,9,blue_collar,74,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,89,28.99574501096693,female,3,blue_collar,80,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,90,30.84891855729352,male,11,unemployed,53,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,91,48.967704736869614,male,11,self_employment,19,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,92,27.592830657970175,male,11,blue_collar,72,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,93,24.916785594450452,male,0,blue_collar,3,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,94,33.86214569986498,male,11,blue_collar,40,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,95,41.42264577154713,male,4,blue_collar,32,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,96,48.67917592526912,male,7,unemployed,36,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,97,39.03739197534496,female,3,white_collar,64,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,98,39.639652045898075,female,6,blue_collar,55,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,99,24.19837327046981,male,19,blue_collar,23,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,100,30.144730864367137,male,8,blue_collar,9,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
1,1,33.90448810961323,male,12,unemployed,4,assessment,0.0,0.45,0.45,0.32074821338190596,0.0,0.0,true
1,2,31.729991721308103,female,8,self_employment,9,assessment,0.0,0.45,0.15000000000000002,0.3428615309527887,0.0,0.0,false
1,3,25.12780965463914,female,2,self_employment,3,assessment,0.0,0.45,0.15000000000000002,0.33389285450621214,0.0,0.0,false
1,4,49.44652205676187,female,6,unemployed,34,assessment,0.0,0.45,0.15000000000000002,0.21628729489955478,0.0,0.0,false
1,5,23.327564633001334,male,19,blue_collar,8,assessment,0.0,0.45,0.15000000000000002,0.5707236724708513,0.0,0.0,false
1,6,28.116626772296097,male,4,white_collar,34,assessment,0.0,0.45,0.15000000000000002,0.40100718380958045,0.0,0.0,false
1,7,43.02831232055965,male,16,white_collar,74,assessment,0.0,0.45,0.15000000000000002,0.691474553413397,0.0,0.0,false
1,8,38.2306295306449,male,14,blue_collar,39,assessment,0.0,0.45,0.15000000000000002,0.5174482784255333,0.0,0.0,false
1,9,44.52527921728489,female,10,unemployed,31,assessment,0.0,0.45,0.15000000000000002,0.34957562872096537,0.0,0.0,false
1,10,24.764789778572577,female,19,self_employment,3,assessment,0.0,0.45,0.45,0.5482686027676399,0.0,0.0,true
1,11,46.69154392374437,male,2,self_employment,11,assessment,0.0,0.45,0.15000000000000002,0.18872615699540496,0.0,0.0,false
1,12,19.053673744397596,female,11,white_collar,66,assessment,0.0,0.45,0.15000000000000002,0.518049351834663,0.0,0.0,false
1,13,24.975546364563016,female,8,self_employment,37,assessment,0.0,0.45,0.45,0.4361678920386505,0.0,0.0,true
1,14,32.578226039667875,female,5,underemployed,51,assessment,0.0,0.45,0.15000000000000002,0.3173985093040457,0.0,0.0,false
1,15,25.132622108254825,male,1,unemployed,25,assessment,0.0,0.45,0.15000000000000002,0.2338058363460246,0.0,0.0,false
1,16,23.28317528567724,male,9,underemployed,53,assessment,0.0,0.45,0.45,0.4457242955981242,0.0,0.0,true
1,17,53.90634052293596,male,10,unemployed,10,assessment,0.0,0.45,0.15000000000000002,0.3267925498375679,0.0,0.0,false
1,18,41.83321360233209,female,5,white_collar,64,assessment,0.0,0.45,0.15000000000000002,0.3941976509062478,0.0,0.0,false
1,19,31.8093880013411,male,4,white_collar,37,assessment,0.0,0.45,0.45,0.4754798488794505,0.0,0.0,true
1,20,37.129759573348494,male,6,unemployed,76,assessment,0.0,0.45,0.15000000000000002,0.2730063885501672,0.0,0.0,false
