time,current_time_months,#15,#17,#19,#21,#23,#25,economic_conditions_turkey,economic_conditions_germany,political_instability_turkey,policy_complexity_germany
44,44,0,0,1,0,0,96,0.20309022654645703,0.6476565356230414,0.5105617632093384,0.7554988392932176
45,45,0,0,1,0,0,96,0.21494481004114602,0.6465773860042637,0.5128739448084805,0.7443166961554604
46,46,0,0,1,0,0,96,0.19548980634155289,0.6474420492250105,0.509392845691101,0.7281073249916632
47,47,0,0,1,0,0,96,0.2230984684176285,0.6578891951410035,0.5146627083156697,0.7394608091919619
48,48,0,0,1,0,0,96,0.2241277847768739,0.6591478870462463,0.49725006742258177,0.738483513217793
49,49,0,0,1,0,0,96,0.21610351184788368,0.6682216557144633,0.49125005864943416,0.7396272045624546
50,50,0,0,1,0,0,96,0.2326006157530244,0.6686467535741641,0.4958083088823794,0.7278128033942616
51,51,0,0,0,1,0,96,0.23236223139171802,0.6736358815672381,0.4955819620665599,0.7185733918347865
52,52,0,0,0,1,0,96,0.25278081073062186,0.67574481800409,0.4894231812006218,0.7140706764876821
53,53,0,0,0,1,0,96,0.23942308433874313,0.7018780689874449,0.47641152352753796,0.7129556418057365
54,54,0,0,0,0,1,96,0.25388767819429175,0.7018709585296529,0.4744607773137792,0.7189071126137427
55,55,0,0,0,0,1,96,0.2545107831044615,0.7135894571148437,0.4755373825775089,0.7208955437484157
56,56,1,0,0,0,0,96,0.2534333498173343,0.7159307513331082,0.4920798943459392,0.6995283632198843
57,57,1,0,0,0,0,96,0.2822258114644729,0.7295097813158079,0.4946147079608012,0.698681883316684
58,58,1,0,0,0,0,96,0.2886385084701002,0.7240120153269272,0.4725356649798343,0.7014531993386197
59,59,1,0,0,0,0,96,0.2875762795126474,0.7259317638485843,0.4770733180323763,0.7094013768630296
60,60,1,0,0,0,0,96,0.29589612158735495,0.7324144494273005,0.4693279434142105,0.7034646424682137
61,61,1,0,0,0,0,96,0.27776442389286643,0.7325168127149799,0.45419024053154045,0.6994064736448989
62,62,1,0,0,0,0,96,0.2961873011874449,0.7349639038101096,0.4523621018794709,0.7062384862961227
63,63,1,0,0,0,0,96,0.320326503835054,0.7417645509644375,0.442684433625709,0.6930000874265638
64,64,1,0,0,0,0,96,0.2957966958704756,0.7330597358185027,0.4492270673291022,0.71069925524824
65,65,1,0,0,0,0,96,0.29524625449418207,0.7418377114982194,0.43759660311060644,0.7331255392129825
66,66,1,0,0,0,0,96,0.2930841915319872,0.7363943889595193,0.44211180734117356,0.7367704358905653
67,67,1,0,0,0,0,96,0.30793043004278414,0.73354576291551,0.4518115214535936,0.7372835204594487
68,68,1,0,0,0,0,96,0.30679820437751765,0.7448220313327735,0.441172006037579,0.7381863908119141
69,69,1,0,0,0,0,96,0.2809837261897863,0.7426864419352828,0.44004179921169945,0.7391685042609281
70,70,1,0,0,0,0,96,0.28497546223345666,0.7336557524038902,0.4473189571776204,0.732792838232862
71,71,1,0,0,0,0,96,0.25975129728520907,0.7431992773681786,0.4375961378572074,0.7411041194019797
72,72,1,0,0,0,0,96,0.256417392937398,0.7379363221756954,0.4313409254386075,0.7393650783646807
73,73,1,0,0,0,0,96,0.2241474931230646,0.7130376705157266,0.4555405293167443,0.7356666038656
74,74,1,0,0,0,0,96,0.19965180324680123,0.7082184721245613,0.44194984832774853,0.719818331667483
75,75,1,0,0,0,0,96,0.23852467683511977,0.7159794994431793,0.4356292583586345,0.7103828039246968
76,76,1,1,0,0,0,96,0.23354055372820848,0.7174688371295044,0.43416474252232024,0.7184982003549747
77,77,1,1,0,0,0,96,0.23803042012276218,0.7213753763335657,0.43277727700031815,0.7028943986029592
78,78,1,0,0,0,0,97,0.2115994410031377,0.7380396534481681,0.42681166329392484,0.6923788112882102
79,79,1,0,0,0,0,97,0.2137550036369436,0.7473788016055725,0.42837811415163374,0.7007007953833011
80,80,1,0,0,0,0,97,0.19365527153626375,0.7259360546692991,0.41265729044052707,0.707764024270267
81,81,1,0,0,0,0,97,0.19549043736860783,0.7299026059686607,0.4180213275011918,0.717943956623345
82,82,1,0,0,0,0,97,0.16815045958804717,0.7412171021117394,0.40995206093329734,0.72246652847248
83,83,1,0,0,0,0,97,0.19728023974625963,0.742161347690823,0.4118080861704213,0.7214305507516005
84,84,1,0,0,0,0,97,0.19719764983714508,0.719493411414876,0.4095397829501229,0.72487107210988
